City_ID,City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
204,204,Nokaneng,BW,2021-12-06 23:18:43,-19.6667,22.2667,76.23,49,47,8.19
205,205,Cherskiy,RU,2021-12-06 23:18:44,68.75,161.3,-24.54,97,100,4.38
206,206,Bengkulu,ID,2021-12-06 23:18:44,-3.8004,102.2655,74.55,91,100,5.3
207,207,Tijucas,BR,2021-12-06 23:18:45,-27.2414,-48.6336,71.62,91,81,7.16
208,208,Brazzaville,CG,2021-12-06 23:16:49,-4.2658,15.2832,75.22,92,100,1.48
209,209,Milkovo,RU,2021-12-06 23:18:45,54.7167,158.6167,28.51,89,100,4.92
210,210,Valentin Gomez Farias,MX,2021-12-06 23:18:46,28.2167,-106.5833,64.27,31,5,6.89
211,211,Antalya,TR,2021-12-06 23:18:41,36.7741,30.7178,65.01,85,75,8.05
212,212,Vera Cruz,BR,2021-12-06 23:18:46,-12.6333,-41.0333,70.02,86,46,2.46
213,213,Bouca,CF,2021-12-06 23:18:47,6.5105,18.2733,77.11,45,97,3.53
214,214,Atbasar,KZ,2021-12-06 23:18:47,51.8,68.3333,20.7,94,100,6.53
215,215,Cap Malheureux,MU,2021-12-06 23:18:48,-19.9842,57.6142,78.48,70,0,5.99
216,216,Vostok,RU,2021-12-06 23:18:48,46.4856,135.8833,9.28,98,98,4.5
217,217,North Platte,US,2021-12-06 23:18:48,41.1239,-100.7654,30.99,56,1,3.0
218,218,Adilcevaz,TR,2021-12-06 23:18:49,38.8039,42.7342,29.91,64,21,3.42
219,219,Magdalena,PH,2021-12-06 23:18:49,14.1999,121.429,76.19,84,60,5.3
220,220,Padang,ID,2021-12-06 23:18:50,-0.9492,100.3543,73.45,80,92,3.58
221,221,Wufeng,CN,2021-12-06 23:18:50,27.45,104.8333,44.6,91,97,2.84
222,222,Khatanga,RU,2021-12-06 23:18:51,71.9667,102.5,-7.06,98,100,8.25
223,223,Batagay-Alyta,RU,2021-12-06 23:18:52,67.8006,130.4114,-35.48,91,100,5.48
224,224,Talnakh,RU,2021-12-06 23:18:52,69.4865,88.3972,-9.8,99,100,12.06
225,225,Saint-Raymond,CA,2021-12-06 23:18:52,45.467,-73.6095,44.92,87,90,8.05
226,226,Ilulissat,GL,2021-12-06 23:18:53,69.2167,-51.1,19.42,49,20,17.27
227,227,Port Alfred,ZA,2021-12-06 23:18:53,-33.5906,26.891,64.76,87,78,11.07
228,228,Seoul,KR,2021-12-06 23:18:17,37.5683,126.9778,38.64,93,3,2.3
229,229,Sistranda,NO,2021-12-06 23:19:56,63.7256,8.834,21.16,71,4,12.59
230,230,Namatanai,PG,2021-12-06 23:19:56,-3.6667,152.4333,81.21,83,100,4.25
231,231,Itoman,JP,2021-12-06 23:19:56,26.1247,127.6694,68.02,77,20,8.05
232,232,Taltal,CL,2021-12-06 23:19:57,-25.4,-70.4833,65.8,71,93,7.0
233,233,Mwense,ZM,2021-12-06 23:19:57,-10.3845,28.698,67.42,84,99,1.07
234,234,Tadine,NC,2021-12-06 23:19:57,-21.55,167.8833,82.0,70,1,4.65
235,235,Souillac,MU,2021-12-06 23:19:58,-20.5167,57.5167,78.37,78,20,5.75
236,236,Lagunas,PE,2021-12-06 23:19:58,-5.2269,-75.6753,75.27,94,78,3.2
237,237,Westport,US,2021-12-06 23:18:29,41.1415,-73.3579,59.32,92,75,1.99
238,238,Trelew,AR,2021-12-06 23:19:59,-43.249,-65.3051,94.75,11,0,23.49
239,239,San Luis,AR,2021-12-06 23:16:32,-33.295,-66.3356,80.44,42,62,9.84
240,240,Villa De Cura,VE,2021-12-06 23:19:59,10.0386,-67.4894,71.8,78,77,1.72
241,241,Utinga,BR,2021-12-06 23:20:00,-5.8172,-35.3954,81.45,78,40,5.75
242,242,Torres,BR,2021-12-06 23:20:00,-29.3353,-49.7269,67.82,88,38,11.3
243,243,Dawei,MM,2021-12-06 23:20:01,14.0833,98.2,64.92,70,33,5.97
244,244,Vacha,RU,2021-12-06 23:20:01,55.8008,42.7706,25.63,86,100,10.45
245,245,Lenger,KZ,2021-12-06 23:20:02,42.183,69.8839,36.84,40,100,3.04
246,246,Jalu,LY,2021-12-06 23:20:02,29.0331,21.5482,58.32,39,0,16.62
247,247,Avrille,FR,2021-12-06 23:20:03,47.5,-0.5833,42.78,85,18,10.16
248,248,Sumy,UA,2021-12-06 23:20:03,50.9216,34.8003,37.54,96,100,13.56
249,249,Dingle,PH,2021-12-06 23:20:03,10.9995,122.6711,75.31,88,97,5.93
250,250,Mecca,SA,2021-12-06 23:19:24,21.4267,39.8261,73.24,74,1,2.06
251,251,Sirvintos,LT,2021-12-06 23:20:04,55.05,24.95,18.41,97,74,5.88
252,252,Berdigestyakh,RU,2021-12-06 23:20:05,62.0989,126.6992,-18.36,99,100,1.19
253,253,Esqueda,MX,2021-12-06 23:20:05,30.7167,-109.5833,69.31,17,0,8.25
254,254,Samoded,RU,2021-12-06 23:20:05,63.6083,40.5111,-0.76,96,5,2.46
255,255,Pontiac,US,2021-12-06 23:20:06,42.6389,-83.2911,32.81,80,90,23.02
256,256,Thompson,CA,2021-12-06 23:20:06,55.7435,-97.8558,-20.04,76,20,6.91
257,257,Suntar,RU,2021-12-06 23:20:06,62.1444,117.6319,-18.6,96,66,4.0
258,258,Pareora,NZ,2021-12-06 23:20:07,-44.4871,171.2132,53.91,76,100,2.77
259,259,Abalak,RU,2021-12-06 23:20:07,58.1286,68.5944,1.74,94,100,8.14
260,260,Port Macquarie,AU,2021-12-06 23:20:08,-31.4333,152.9167,72.9,75,100,9.91
261,261,Ahipara,NZ,2021-12-06 23:20:08,-35.1667,173.1667,71.83,71,100,8.25
262,262,Kitimat,CA,2021-12-06 23:15:53,54.0524,-128.6534,25.92,74,48,4.21
263,263,Coquimbo,CL,2021-12-06 23:20:09,-29.9533,-71.3436,61.25,75,4,3.51
264,264,Severomuysk,RU,2021-12-06 23:20:09,56.1481,113.4267,4.28,97,99,2.95
265,265,Yantal,RU,2021-12-06 23:20:10,56.8471,105.2542,29.32,93,100,8.5
266,266,Yuxia,CN,2021-12-06 23:20:11,34.0615,108.6291,45.21,50,38,2.59
267,267,Grand Gaube,MU,2021-12-06 23:20:11,-20.0064,57.6608,78.39,70,0,7.0
268,268,Pringsewu,ID,2021-12-06 23:20:11,-5.3582,104.9744,73.08,96,99,1.5
269,269,Faanui,PF,2021-12-06 23:20:12,-16.4833,-151.75,81.0,77,97,16.35
270,270,Maraa,BR,2021-12-06 23:20:12,-1.8333,-65.3667,73.81,98,100,4.47
271,271,Geraldton,AU,2021-12-06 23:20:13,-28.7667,114.6,82.81,34,0,13.8
272,272,Batsfjord,NO,2021-12-06 23:20:13,70.6345,29.7185,10.62,89,95,8.52
273,273,Bose,IT,2021-12-06 23:20:13,45.4612,8.0137,37.74,48,17,4.36
274,274,Kiunga,PG,2021-12-06 23:20:14,-6.1219,141.2906,80.08,83,86,1.48
275,275,Norman Wells,CA,2021-12-06 23:21:14,65.282,-126.8329,-9.36,70,20,5.75
276,276,Inta,RU,2021-12-06 23:21:14,66.0317,60.1659,7.83,94,100,23.4
277,277,Verkh-Usugli,RU,2021-12-06 23:21:15,52.7,115.1667,6.64,96,32,3.44
278,278,Bethel,US,2021-12-06 23:16:50,41.3712,-73.414,58.28,87,90,5.01
